Name,Audio Link
يمنى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944267-af414ec3-3724-440b-8aa1-068d329b5bc5.wav
جواد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751250517-cf636d5e-b9ef-4cbf-8ed3-5a1c6117341e.wav
إسلام,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751415924-76d9914b-cce3-4d31-b1b0-2ae51a778c19.wav
عارف,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944529-eca1b68b-de9e-44d0-bc7c-dabc593d8dc6.wav
أماني,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751417677-8bf21714-9f41-4e35-8df2-58d29fa72b3e.wav
أكرم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944595-febd9948-f257-43fa-86a5-7c4ae08d2a25.wav
آمنة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751415682-e7534472-59dd-4ea0-a140-5dabf3b91443.wav
أمين,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944673-d5b41ad4-367d-478b-b169-816b6d48474c.wav
كمال,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751415566-345aae87-1328-4a26-9f4f-0615dcd583a7.wav
روان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754245250-99d90be1-795a-4305-acf5-ef208d3a8350.mp3
فهد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944746-876fcf96-497f-43f8-911f-271744b6bf44.wav
بديعة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751415433-66882f67-60d4-4076-8564-de25ebec8ebe.wav
جليل,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754249811-fa28c06d-9af0-418f-ae13-c30923c23f2f.mp3
بهاء,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944825-c9ee0c4b-af8c-4efa-9217-584b9f4ea7d5.wav
لطفي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751415320-7c082445-41a9-40df-9f0d-f6834e2e18c6.wav
منال,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754250203-750e0b84-1d29-4d2d-8184-cfda20ad2129.mp3
بيسان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751415136-e1417d47-fd41-460c-97fa-6c9e66248e4d.wav
ماجد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944988-7e4d7057-b2f4-49fd-af1a-57d07ebc7195.wav
علي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945046-ad912fff-760d-4187-8028-24b32894931a.wav
أسمى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751414395-c7cde772-3ef7-48f8-b5e8-60ead408571a.wav
مصطفى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751414260-00e1244a-cd07-4f35-b50b-c3e75485213d.wav
باسم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945319-25996661-50f0-4ded-8df4-8780cb4c243b.wav
منصور,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751414139-4ec055fc-bb80-4b00-beee-81ad1aa32d0d.wav
كرم,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945354-f852d748-7530-4d61-a52b-6ca10d254bcd.wav
محمد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751412979-c411d00a-674b-40ff-a43b-c9640af2ab5e.wav
زاهر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751412633-5ce59b85-1939-4d42-9818-0628f5f9187a.wav
أسماء,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945501-686d114c-50ea-4cc2-8852-a7d6f63fa89c.wav
أجوان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751412047-d07b1d46-9d3c-474a-80d3-92c44e487d88.wav
زكية,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747945566-290b94ee-0c04-4cd5-ab71-6b3563a6ba8b.wav
أحمد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751411844-e3c22437-0298-4b0d-a626-adc85e9e70ec.wav
معتز,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751411129-13d7c3bc-8699-4e61-95ba-2aa1a518914f.wav
عمار,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754408654-b75725cb-6a15-4e96-8a87-d2fdc509745e.wav
يحيى,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754412980-6ddafedd-3df3-4f6c-8a7b-37803be5aef3.mp3
عبد الله,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754413349-66bf2848-5100-4e3e-860f-8e5ba696c5ad.mp3
فاطمة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754413629-3f072c4e-ea99-416e-95a4-df7f496ca6db.mp3
جهاد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754443070-f32d269c-a4c5-4b60-b798-dde13a57c16a.mp3
بكر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754443930-65d4816b-7676-4cff-95f2-62edb0627c5c.mp3
ريان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754444297-ae63abe4-8666-471c-8d9e-f9f75abecaca.mp3
